Match Id,Match,Bowling_team,Bowler_name,Overs,Maiden,Runs,Wickets,Economy,0s,4s,6s,Wides,NoBalls
T20I # 2698,Bangladesh vs Nepal-37Th-Match-Group-D-1415737,Bangladesh,Kushal Bhurtel,4,0,22,0,5.5,12,1,1,2,0
T20I # 2698,Bangladesh vs Nepal-37Th-Match-Group-D-1415737,Bangladesh,Abinash Bohara,1,0,10,0,10,3,1,0,2,0
T20I # 2698,Bangladesh vs Nepal-37Th-Match-Group-D-1415737,Nepal,Tanzim Hasan Sakib,4,2,7,4,1.75,21,1,0,1,0
T20I # 2698,Bangladesh vs Nepal-37Th-Match-Group-D-1415737,Nepal,Taskin Ahmed,4,0,29,1,7.25,13,4,1,1,0
T20I # 2698,Bangladesh vs Nepal-37Th-Match-Group-D-1415737,Nepal,Mustafizur Rahman,4,1,7,3,1.75,20,1,0,0,0
T20I # 2698,Bangladesh vs Nepal-37Th-Match-Group-D-1415737,Nepal,Rishad Hossain,3,0,15,0,5,13,1,0,1,0
T20I # 2698,Bangladesh vs Nepal-37Th-Match-Group-D-1415737,Nepal,Shakib Al Hasan,2.2,0,9,2,3.85,7,0,0,0,0
T20I # 2698,Bangladesh vs Nepal-37Th-Match-Group-D-1415737,Nepal,Mahmudullah,2,0,15,0,7.5,6,1,1,0,0
T20I # 2697,Ireland vs Pakistan-36Th-Match-Group-A-1415736,Ireland,Shaheen Shah Afridi,4,0,22,3,5.5,16,3,0,1,0
T20I # 2697,Ireland vs Pakistan-36Th-Match-Group-A-1415736,Ireland,Mohammad Amir,4,1,11,2,2.75,20,2,0,0,0
T20I # 2697,Ireland vs Pakistan-36Th-Match-Group-A-1415736,Ireland,Haris Rauf,4,0,17,1,4.25,16,1,1,0,0
T20I # 2697,Ireland vs Pakistan-36Th-Match-Group-A-1415736,Ireland,Abbas Afridi,3,0,31,0,10.33,5,1,2,2,0
T20I # 2697,Ireland vs Pakistan-36Th-Match-Group-A-1415736,Ireland,Shadab Khan,1,0,11,0,11,3,1,1,0,0
T20I # 2697,Ireland vs Pakistan-36Th-Match-Group-A-1415736,Ireland,Imad Wasim,4,0,8,3,2,17,0,0,0,0
T20I # 2697,Ireland vs Pakistan-36Th-Match-Group-A-1415736,Pakistan,Mark Adair,4,0,24,1,6,14,1,1,1,0
T20I # 2697,Ireland vs Pakistan-36Th-Match-Group-A-1415736,Pakistan,Josh Little,3,0,17,0,5.66,11,3,0,0,0
T20I # 2697,Ireland vs Pakistan-36Th-Match-Group-A-1415736,Pakistan,Barry McCarthy,4,1,15,3,3.75,15,1,0,1,0
T20I # 2697,Ireland vs Pakistan-36Th-Match-Group-A-1415736,Pakistan,Ben White,2,0,11,1,5.5,5,1,0,0,0
T20I # 2697,Ireland vs Pakistan-36Th-Match-Group-A-1415736,Pakistan,Curtis Campher,4,0,24,2,6,12,2,1,0,0
T20I # 2697,Ireland vs Pakistan-36Th-Match-Group-A-1415736,Pakistan,Gareth Delany,1.5,0,19,0,10.36,3,0,2,1,0
T20I # 2689,Australia vs Scotland-35Th-Match-Group-B-1415735,Scotland,Ashton Agar,4,0,39,1,9.75,6,0,3,1,0
T20I # 2689,Australia vs Scotland-35Th-Match-Group-B-1415735,Scotland,Mitchell Starc,4,0,31,0,7.75,10,1,2,1,0
T20I # 2689,Australia vs Scotland-35Th-Match-Group-B-1415735,Scotland,Nathan Ellis,4,0,34,1,8.5,7,2,1,3,0
T20I # 2689,Australia vs Scotland-35Th-Match-Group-B-1415735,Scotland,Glenn Maxwell,4,0,44,2,11,8,2,4,1,0
T20I # 2689,Australia vs Scotland-35Th-Match-Group-B-1415735,Scotland,Adam Zampa,4,0,30,1,7.5,8,1,2,0,0
T20I # 2689,Australia vs Scotland-35Th-Match-Group-B-1415735,Australia,Michael Leask,4,0,39,0,9.75,8,2,3,0,0
T20I # 2689,Australia vs Scotland-35Th-Match-Group-B-1415735,Australia,Brad Wheal,3.4,1,28,1,7.63,12,4,1,0,0
T20I # 2689,Australia vs Scotland-35Th-Match-Group-B-1415735,Australia,Mark Watt,4,0,34,2,8.5,10,6,0,1,0
T20I # 2689,Australia vs Scotland-35Th-Match-Group-B-1415735,Australia,Chris Sole,3,0,33,0,11,4,3,1,1,0
T20I # 2689,Australia vs Scotland-35Th-Match-Group-B-1415735,Australia,Safyaan Sharif,4,0,42,2,10.5,8,2,3,3,0
T20I # 2689,Australia vs Scotland-35Th-Match-Group-B-1415735,Australia,Chris Greaves,1,0,4,0,4,2,0,0,0,0
T20I # 2688,England vs Namibia-34Th-Match-Group-B-1415734,England,David Wiese,2,0,6,1,3,9,1,0,0,0
T20I # 2688,England vs Namibia-34Th-Match-Group-B-1415734,England,Ruben Trumpelmann,2,0,31,2,15.5,3,2,3,1,0
T20I # 2688,England vs Namibia-34Th-Match-Group-B-1415734,England,Bernard Scholtz,2,0,24,1,12,4,1,2,0,0
T20I # 2688,England vs Namibia-34Th-Match-Group-B-1415734,England,Gerhard Erasmus,2,0,26,0,13,2,2,1,0,0
T20I # 2688,England vs Namibia-34Th-Match-Group-B-1415734,England,Jack Brassell,2,0,32,0,16,2,3,2,0,0
T20I # 2688,England vs Namibia-34Th-Match-Group-B-1415734,Namibia,Reece Topley,2,0,6,0,3,8,0,0,0,1
T20I # 2688,England vs Namibia-34Th-Match-Group-B-1415734,Namibia,Jofra Archer,2,0,15,1,7.5,7,1,1,1,0
T20I # 2688,England vs Namibia-34Th-Match-Group-B-1415734,Namibia,Sam Curran,2,0,13,0,6.5,5,2,0,0,0
T20I # 2688,England vs Namibia-34Th-Match-Group-B-1415734,Namibia,Chris Jordan,2,0,19,1,9.5,4,0,2,0,0
T20I # 2688,England vs Namibia-34Th-Match-Group-B-1415734,Namibia,Adil Rashid,2,0,29,0,14.5,3,1,3,1,0
T20I # 2682,New-Zealand vs Uganda-32Nd-Match-Group-C-1415732,Uganda,Trent Boult,4,1,7,2,1.75,20,1,0,0,0
T20I # 2682,New-Zealand vs Uganda-32Nd-Match-Group-C-1415732,Uganda,Tim Southee,4,1,4,3,1,20,0,0,0,0
T20I # 2682,New-Zealand vs Uganda-32Nd-Match-Group-C-1415732,Uganda,Mitchell Santner,3.4,0,8,2,2.18,17,0,0,3,0
T20I # 2682,New-Zealand vs Uganda-32Nd-Match-Group-C-1415732,Uganda,Lockie Ferguson,4,0,9,1,2.25,20,1,0,2,0
T20I # 2682,New-Zealand vs Uganda-32Nd-Match-Group-C-1415732,Uganda,Rachin Ravindra,3,1,9,2,3,12,1,0,0,0
T20I # 2682,New-Zealand vs Uganda-32Nd-Match-Group-C-1415732,New Zealand,Cosmas Kyewuta,2,0,13,0,6.5,6,1,0,2,1
T20I # 2682,New-Zealand vs Uganda-32Nd-Match-Group-C-1415732,New Zealand,Juma Miyagi,2.2,0,16,0,6.85,7,3,0,0,0
T20I # 2682,New-Zealand vs Uganda-32Nd-Match-Group-C-1415732,New Zealand,Riazat Ali Shah,1,0,10,1,10,3,1,0,4,0
T20I # 2681,Nepal vs South-Africa-31St-Match-Group-D-1415731,South Africa,Sompal Kami,2,1,6,0,3,10,1,0,1,0
T20I # 2681,Nepal vs South-Africa-31St-Match-Group-D-1415731,South Africa,Dipendra Singh Airee,4,0,21,3,5.25,9,1,0,1,0
T20I # 2681,Nepal vs South-Africa-31St-Match-Group-D-1415731,South Africa,Karan KC,1,0,9,0,9,3,2,0,0,0
T20I # 2681,Nepal vs South-Africa-31St-Match-Group-D-1415731,South Africa,Kushal Malla,2,0,17,0,8.5,6,2,1,0,0
T20I # 2681,Nepal vs South-Africa-31St-Match-Group-D-1415731,South Africa,Sandeep Lamichhane,4,0,18,0,4.5,11,1,0,0,0
T20I # 2681,Nepal vs South-Africa-31St-Match-Group-D-1415731,South Africa,Kushal Bhurtel,4,0,19,4,4.75,12,0,1,1,0
T20I # 2681,Nepal vs South-Africa-31St-Match-Group-D-1415731,South Africa,Abinash Bohara,3,0,19,0,6.33,8,3,0,0,0
T20I # 2681,Nepal vs South-Africa-31St-Match-Group-D-1415731,Nepal,Marco Jansen,4,0,16,0,4,16,1,1,0,0
T20I # 2681,Nepal vs South-Africa-31St-Match-Group-D-1415731,Nepal,Kagiso Rabada,2,0,17,0,8.5,6,2,1,0,0
T20I # 2681,Nepal vs South-Africa-31St-Match-Group-D-1415731,Nepal,Ottneil Baartman,4,0,20,0,5,15,3,0,0,0
T20I # 2681,Nepal vs South-Africa-31St-Match-Group-D-1415731,Nepal,Anrich Nortje,4,0,27,1,6.75,15,3,1,3,0
T20I # 2681,Nepal vs South-Africa-31St-Match-Group-D-1415731,Nepal,Tabraiz Shamsi,4,0,19,4,4.75,12,0,1,1,0
T20I # 2681,Nepal vs South-Africa-31St-Match-Group-D-1415731,Nepal,Aiden Markram,2,0,8,1,4,4,0,0,0,0
T20I # 2679,Afghanistan vs Papua-New-Guinea-29Th-Match-Group-C-1415729,Papua New Guinea,Fazalhaq Farooqi,4,0,16,3,4,17,1,0,1,0
T20I # 2679,Afghanistan vs Papua-New-Guinea-29Th-Match-Group-C-1415729,Papua New Guinea,Mohammad Nabi,1,0,9,0,9,1,1,0,0,0
T20I # 2679,Afghanistan vs Papua-New-Guinea-29Th-Match-Group-C-1415729,Papua New Guinea,Naveen-ul-Haq,2.5,0,4,2,1.41,14,0,0,1,0
T20I # 2679,Afghanistan vs Papua-New-Guinea-29Th-Match-Group-C-1415729,Papua New Guinea,Rashid Khan,4,0,25,0,6.25,10,1,0,1,0
T20I # 2679,Afghanistan vs Papua-New-Guinea-29Th-Match-Group-C-1415729,Papua New Guinea,Noor Ahmad,4,0,14,1,3.5,15,1,0,1,0
T20I # 2679,Afghanistan vs Papua-New-Guinea-29Th-Match-Group-C-1415729,Papua New Guinea,Azmatullah Omarzai,2,1,5,0,2.5,10,1,0,0,0
T20I # 2679,Afghanistan vs Papua-New-Guinea-29Th-Match-Group-C-1415729,Papua New Guinea,Karim Janat,2,0,10,0,5,7,1,0,1,0
T20I # 2679,Afghanistan vs Papua-New-Guinea-29Th-Match-Group-C-1415729,Afghanistan,Alei Nao,4,0,26,1,6.5,14,0,2,3,0
T20I # 2679,Afghanistan vs Papua-New-Guinea-29Th-Match-Group-C-1415729,Afghanistan,Semo Kamea,3,0,16,1,5.33,10,2,0,2,0
T20I # 2679,Afghanistan vs Papua-New-Guinea-29Th-Match-Group-C-1415729,Afghanistan,Chad Soper,2.1,0,19,0,8.76,5,1,1,0,0
T20I # 2679,Afghanistan vs Papua-New-Guinea-29Th-Match-Group-C-1415729,Afghanistan,Norman Vanua,3,0,18,1,6,7,2,0,0,0
T20I # 2679,Afghanistan vs Papua-New-Guinea-29Th-Match-Group-C-1415729,Afghanistan,John Kariko,3,0,15,0,5,9,2,0,0,0
T20I # 2678,England vs Oman-28Th-Match-Group-B-1415728,Oman,Reece Topley,3,0,12,0,4,11,0,1,0,0
T20I # 2678,England vs Oman-28Th-Match-Group-B-1415728,Oman,Jofra Archer,3.2,1,12,3,3.6,15,2,0,1,0
T20I # 2678,England vs Oman-28Th-Match-Group-B-1415728,Oman,Mark Wood,3,0,12,3,4,10,1,0,0,0
T20I # 2678,England vs Oman-28Th-Match-Group-B-1415728,Oman,Adil Rashid,4,0,11,4,2.75,20,1,0,3,0
T20I # 2678,England vs Oman-28Th-Match-Group-B-1415728,England,Bilal Khan,2,0,36,1,18,3,4,3,0,0
T20I # 2678,England vs Oman-28Th-Match-Group-B-1415728,England,Kaleemullah,1,0,10,1,10,4,2,0,0,1
T20I # 2678,England vs Oman-28Th-Match-Group-B-1415728,England,Fayyaz Butt,0.1,0,4,0,24,0,1,0,0,0
T20I # 2677,Bangladesh vs Netherlands-27Th-Match-Group-D-1415727,Bangladesh,Vivian Kingma,2,0,20,0,10,6,2,1,1,0
T20I # 2677,Bangladesh vs Netherlands-27Th-Match-Group-D-1415727,Bangladesh,Aryan Dutt,4,0,17,2,4.25,12,1,0,1,0
T20I # 2677,Bangladesh vs Netherlands-27Th-Match-Group-D-1415727,Bangladesh,Paul van Meekeren,4,0,15,2,3.75,13,1,0,0,0
T20I # 2677,Bangladesh vs Netherlands-27Th-Match-Group-D-1415727,Bangladesh,Logan van Beek,4,0,43,0,10.75,9,7,1,1,0
T20I # 2677,Bangladesh vs Netherlands-27Th-Match-Group-D-1415727,Bangladesh,Bas de Leede,3,0,31,0,10.33,5,5,0,0,0
T20I # 2677,Bangladesh vs Netherlands-27Th-Match-Group-D-1415727,Bangladesh,Tim Pringle,3,0,26,1,8.66,6,3,1,0,0
T20I # 2677,Bangladesh vs Netherlands-27Th-Match-Group-D-1415727,Netherlands,Mustafizur Rahman,4,0,12,1,3,17,1,0,1,0
T20I # 2677,Bangladesh vs Netherlands-27Th-Match-Group-D-1415727,Netherlands,Tanzim Hasan Sakib,3,0,23,1,7.66,9,4,0,0,0
T20I # 2677,Bangladesh vs Netherlands-27Th-Match-Group-D-1415727,Netherlands,Taskin Ahmed,4,0,30,2,7.5,13,3,2,0,0
T20I # 2677,Bangladesh vs Netherlands-27Th-Match-Group-D-1415727,Netherlands,Shakib Al Hasan,4,0,29,0,7.25,10,1,2,0,0
T20I # 2677,Bangladesh vs Netherlands-27Th-Match-Group-D-1415727,Netherlands,Rishad Hossain,4,0,33,3,8.25,11,2,2,0,0
T20I # 2677,Bangladesh vs Netherlands-27Th-Match-Group-D-1415727,Netherlands,Mahmudullah,1,0,6,1,6,3,1,0,0,0
T20I # 2672,West-Indies vs New-Zealand-26Th-Match-Group-C-1415726,West Indies,Trent Boult,4,1,16,3,4,15,2,0,0,0
T20I # 2672,West-Indies vs New-Zealand-26Th-Match-Group-C-1415726,West Indies,Tim Southee,4,0,21,2,5.25,14,2,1,0,0
T20I # 2672,West-Indies vs New-Zealand-26Th-Match-Group-C-1415726,West Indies,Lockie Ferguson,4,0,27,2,6.75,11,2,1,2,0
T20I # 2672,West-Indies vs New-Zealand-26Th-Match-Group-C-1415726,West Indies,James Neesham,4,0,27,1,6.75,9,0,2,1,0
T20I # 2672,West-Indies vs New-Zealand-26Th-Match-Group-C-1415726,West Indies,Glenn Phillips,1,0,9,0,9,2,0,1,0,0
T20I # 2672,West-Indies vs New-Zealand-26Th-Match-Group-C-1415726,West Indies,Mitchell Santner,2,0,27,1,13.5,4,2,2,0,0
T20I # 2672,West-Indies vs New-Zealand-26Th-Match-Group-C-1415726,West Indies,Daryl Mitchell,1,0,19,0,19,2,0,3,0,0
T20I # 2672,West-Indies vs New-Zealand-26Th-Match-Group-C-1415726,New Zealand,Akeal Hosein,4,0,21,1,5.25,11,1,1,0,0
T20I # 2672,West-Indies vs New-Zealand-26Th-Match-Group-C-1415726,New Zealand,Romario Shepherd,3,0,36,0,12,7,1,4,2,0
T20I # 2672,West-Indies vs New-Zealand-26Th-Match-Group-C-1415726,New Zealand,Andre Russell,4,0,30,1,7.5,11,2,2,0,0
T20I # 2672,West-Indies vs New-Zealand-26Th-Match-Group-C-1415726,New Zealand,Alzarri Joseph,4,0,19,4,4.75,13,2,0,0,0
T20I # 2672,West-Indies vs New-Zealand-26Th-Match-Group-C-1415726,New Zealand,Gudakesh Motie,4,0,25,3,6.25,11,1,1,0,0
T20I # 2672,West-Indies vs New-Zealand-26Th-Match-Group-C-1415726,New Zealand,Roston Chase,1,0,4,0,4,3,0,0,1,0
T20I # 2671,United-States-Of-America vs India-25Th-Match-Group-A-1415725,United States of America,Arshdeep Singh,4,0,9,4,2.25,17,0,0,1,0
T20I # 2671,United-States-Of-America vs India-25Th-Match-Group-A-1415725,United States of America,Mohammed Siraj,4,0,25,0,6.25,11,1,1,0,0
T20I # 2671,United-States-Of-America vs India-25Th-Match-Group-A-1415725,United States of America,Jasprit Bumrah,4,0,25,0,6.25,14,1,1,1,0
