Match Id,Match Name,Team_Inning,BatsmanName,Batting Pos,Out By,Not Out / Out,Runs,Balls,4s,6s,SR(strike rate)
T20I # 2698,Bangladesh vs Nepal-37Th-Match-Group-D-1415737,Nepal,Sompal Kami,9,st Litton Das b Shakib Al Hasan,Out,0,2,0,0,0
T20I # 2698,Bangladesh vs Nepal-37Th-Match-Group-D-1415737,Nepal,Sandeep Lamichhane,10,not out,Not_Out,0,0,0,0,-
T20I # 2698,Bangladesh vs Nepal-37Th-Match-Group-D-1415737,Nepal,Abinash Bohara,11,lbw b Shakib Al Hasan,Out,0,1,0,0,0
T20I # 2697,Ireland vs Pakistan-36Th-Match-Group-A-1415736,Ireland,Andy Balbirnie,1,b Shaheen Shah Afridi,Out,0,3,0,0,0
T20I # 2697,Ireland vs Pakistan-36Th-Match-Group-A-1415736,Ireland,Paul Stirling (c),2,c Mohammad Rizwan b Mohammad Amir,Out,1,2,0,0,50
T20I # 2697,Ireland vs Pakistan-36Th-Match-Group-A-1415736,Ireland,Lorcan Tucker ,3,c Mohammad Rizwan b Shaheen Shah Afridi,Out,2,2,0,0,100
T20I # 2697,Ireland vs Pakistan-36Th-Match-Group-A-1415736,Ireland,Harry Tector,4,lbw b Shaheen Shah Afridi,Out,0,6,0,0,0
T20I # 2697,Ireland vs Pakistan-36Th-Match-Group-A-1415736,Ireland,Curtis Campher,5,c Saim Ayub b Haris Rauf,Out,7,14,1,0,50
T20I # 2697,Ireland vs Pakistan-36Th-Match-Group-A-1415736,Ireland,George Dockrell,6,c & b Mohammad Amir,Out,11,10,2,0,110
T20I # 2697,Ireland vs Pakistan-36Th-Match-Group-A-1415736,Ireland,Gareth Delany,7,c Shadab Khan b Imad Wasim,Out,31,19,1,3,163.15
T20I # 2697,Ireland vs Pakistan-36Th-Match-Group-A-1415736,Ireland,Mark Adair,8,c Shaheen Shah Afridi b Imad Wasim,Out,15,19,2,0,78.94
T20I # 2697,Ireland vs Pakistan-36Th-Match-Group-A-1415736,Ireland,Barry McCarthy,9,b Imad Wasim,Out,2,7,0,0,28.57
T20I # 2697,Ireland vs Pakistan-36Th-Match-Group-A-1415736,Ireland,Josh Little,10,not out,Not_Out,22,18,2,1,122.22
T20I # 2697,Ireland vs Pakistan-36Th-Match-Group-A-1415736,Ireland,Ben White,11,not out,Not_Out,5,20,0,0,25
T20I # 2697,Ireland vs Pakistan-36Th-Match-Group-A-1415736,Pakistan,Mohammad Rizwan ,1,c Adair b McCarthy,Out,17,16,2,0,106.25
T20I # 2697,Ireland vs Pakistan-36Th-Match-Group-A-1415736,Pakistan,Saim Ayub,2,c Tucker b Adair,Out,17,17,2,1,100
T20I # 2697,Ireland vs Pakistan-36Th-Match-Group-A-1415736,Pakistan,Babar Azam (c),3,not out,Not_Out,32,34,2,0,94.11
T20I # 2697,Ireland vs Pakistan-36Th-Match-Group-A-1415736,Pakistan,Fakhar Zaman,4,c sub (GR Adair) b Campher,Out,5,9,0,0,55.55
T20I # 2697,Ireland vs Pakistan-36Th-Match-Group-A-1415736,Pakistan,Usman Khan,5,c Tector b McCarthy,Out,2,3,0,0,66.66
T20I # 2697,Ireland vs Pakistan-36Th-Match-Group-A-1415736,Pakistan,Shadab Khan,6,c Tucker b McCarthy,Out,0,2,0,0,0
T20I # 2697,Ireland vs Pakistan-36Th-Match-Group-A-1415736,Pakistan,Imad Wasim,7,c Tector b Campher,Out,4,6,1,0,66.66
T20I # 2697,Ireland vs Pakistan-36Th-Match-Group-A-1415736,Pakistan,Abbas Afridi,8,c sub (GR Adair) b White,Out,17,21,1,1,80.95
T20I # 2697,Ireland vs Pakistan-36Th-Match-Group-A-1415736,Pakistan,Shaheen Shah Afridi,9,not out,Not_Out,13,5,0,2,260
T20I # 2689,Australia vs Scotland-35Th-Match-Group-B-1415735,Scotland,George Munsey,1,c Ellis b Maxwell,Out,35,23,2,3,152.17
T20I # 2689,Australia vs Scotland-35Th-Match-Group-B-1415735,Scotland,Michael Jones,2,b Agar,Out,2,3,0,0,66.66
T20I # 2689,Australia vs Scotland-35Th-Match-Group-B-1415735,Scotland,Brandon McMullen,3,c Starc b Zampa,Out,60,34,2,6,176.47
T20I # 2689,Australia vs Scotland-35Th-Match-Group-B-1415735,Scotland,Richie Berrington (c),4,not out,Not_Out,42,31,1,2,135.48
T20I # 2689,Australia vs Scotland-35Th-Match-Group-B-1415735,Scotland,Matthew Cross ,5,c Agar b Maxwell,Out,18,11,1,1,163.63
T20I # 2689,Australia vs Scotland-35Th-Match-Group-B-1415735,Scotland,Michael Leask,6,c Starc b Ellis,Out,5,8,0,0,62.5
T20I # 2689,Australia vs Scotland-35Th-Match-Group-B-1415735,Scotland,Chris Greaves,7,not out,Not_Out,9,10,0,0,90
T20I # 2689,Australia vs Scotland-35Th-Match-Group-B-1415735,Australia,Travis Head,1,c Jones b Sharif,Out,68,49,5,4,138.77
T20I # 2689,Australia vs Scotland-35Th-Match-Group-B-1415735,Australia,David Warner,2,c Berrington b Wheal,Out,1,4,0,0,25
T20I # 2689,Australia vs Scotland-35Th-Match-Group-B-1415735,Australia,Mitchell Marsh (c),3,c sub (C Tear) b Sharif,Out,8,9,1,0,88.88
T20I # 2689,Australia vs Scotland-35Th-Match-Group-B-1415735,Australia,Glenn Maxwell,4,b Watt,Out,11,8,0,1,137.5
T20I # 2689,Australia vs Scotland-35Th-Match-Group-B-1415735,Australia,Marcus Stoinis,5,b Watt,Out,59,29,9,2,203.44
T20I # 2689,Australia vs Scotland-35Th-Match-Group-B-1415735,Australia,Tim David,6,not out,Not_Out,24,14,2,1,171.42
T20I # 2689,Australia vs Scotland-35Th-Match-Group-B-1415735,Australia,Matthew Wade ,7,not out,Not_Out,4,5,0,0,80
T20I # 2688,England vs Namibia-34Th-Match-Group-B-1415734,England,Phil Salt,1,c Green b Wiese,Out,11,8,2,0,137.5
T20I # 2688,England vs Namibia-34Th-Match-Group-B-1415734,England,Jos Buttler (c),2,b Trumpelmann,Out,0,4,0,0,0
T20I # 2688,England vs Namibia-34Th-Match-Group-B-1415734,England,Jonny Bairstow,3,c Green b Scholtz,Out,31,18,3,2,172.22
T20I # 2688,England vs Namibia-34Th-Match-Group-B-1415734,England,Harry Brook,4,not out,Not_Out,47,20,4,2,235
T20I # 2688,England vs Namibia-34Th-Match-Group-B-1415734,England,Moeen Ali,5,c Davin b Trumpelmann,Out,16,6,0,2,266.66
T20I # 2688,England vs Namibia-34Th-Match-Group-B-1415734,England,Liam Livingstone,6,run out (Trumpelmann/Green),Out,13,4,0,2,325
T20I # 2688,England vs Namibia-34Th-Match-Group-B-1415734,Namibia,Michael van Lingen,1,c Brook b Jordan,Out,33,29,1,3,113.79
T20I # 2688,England vs Namibia-34Th-Match-Group-B-1415734,Namibia,Nikolaas Davin,2,retired out,Out,18,16,1,1,112.5
T20I # 2688,England vs Namibia-34Th-Match-Group-B-1415734,Namibia,David Wiese,3,c Brook b Archer,Out,27,12,2,2,225
T20I # 2688,England vs Namibia-34Th-Match-Group-B-1415734,Namibia,Gerhard Erasmus (c),4,not out,Not_Out,1,3,0,0,33.33
T20I # 2688,England vs Namibia-34Th-Match-Group-B-1415734,Namibia,JJ Smit,5,not out,Not_Out,0,1,0,0,0
T20I # 2682,New-Zealand vs Uganda-32Nd-Match-Group-C-1415732,Uganda,Ronak Patel,1,c Conway b Santner,Out,2,20,0,0,10
T20I # 2682,New-Zealand vs Uganda-32Nd-Match-Group-C-1415732,Uganda,Simon Ssesazi ,2,lbw b Boult,Out,0,1,0,0,0
T20I # 2682,New-Zealand vs Uganda-32Nd-Match-Group-C-1415732,Uganda,Robinson Obuya,3,b Boult,Out,0,1,0,0,0
T20I # 2682,New-Zealand vs Uganda-32Nd-Match-Group-C-1415732,Uganda,Alpesh Ramjani,4,lbw b Southee,Out,0,6,0,0,0
T20I # 2682,New-Zealand vs Uganda-32Nd-Match-Group-C-1415732,Uganda,Kenneth Waiswa,5,b Ferguson,Out,11,18,2,0,61.11
T20I # 2682,New-Zealand vs Uganda-32Nd-Match-Group-C-1415732,Uganda,Riazat Ali Shah,6,c Conway b Ravindra,Out,2,13,0,0,15.38
T20I # 2682,New-Zealand vs Uganda-32Nd-Match-Group-C-1415732,Uganda,Dinesh Nakrani,7,c Phillips b Ravindra,Out,4,13,0,0,30.76
T20I # 2682,New-Zealand vs Uganda-32Nd-Match-Group-C-1415732,Uganda,Brian Masaba (c),8,not out,Not_Out,3,20,0,0,15
T20I # 2682,New-Zealand vs Uganda-32Nd-Match-Group-C-1415732,Uganda,Fred Achelam,9,lbw b Southee,Out,9,13,1,0,69.23
T20I # 2682,New-Zealand vs Uganda-32Nd-Match-Group-C-1415732,Uganda,Juma Miyagi,10,lbw b Southee,Out,0,1,0,0,0
T20I # 2682,New-Zealand vs Uganda-32Nd-Match-Group-C-1415732,Uganda,Cosmas Kyewuta,11,c Mitchell b Santner,Out,1,6,0,0,16.66
T20I # 2682,New-Zealand vs Uganda-32Nd-Match-Group-C-1415732,New Zealand,Finn Allen,1,c Achelam b Riazat Ali Shah,Out,9,17,1,0,52.94
T20I # 2682,New-Zealand vs Uganda-32Nd-Match-Group-C-1415732,New Zealand,Devon Conway ,2,not out,Not_Out,22,15,4,0,146.66
T20I # 2682,New-Zealand vs Uganda-32Nd-Match-Group-C-1415732,New Zealand,Rachin Ravindra,3,not out,Not_Out,1,1,0,0,100
T20I # 2681,Nepal vs South-Africa-31St-Match-Group-D-1415731,South Africa,Reeza Hendricks,1,c & b Airee,Out,43,49,5,1,87.75
T20I # 2681,Nepal vs South-Africa-31St-Match-Group-D-1415731,South Africa,Quinton de Kock ,2,c & b Airee,Out,10,11,1,0,90.9
T20I # 2681,Nepal vs South-Africa-31St-Match-Group-D-1415731,South Africa,Aiden Markram (c),3,b Bhurtel,Out,15,22,2,0,68.18
T20I # 2681,Nepal vs South-Africa-31St-Match-Group-D-1415731,South Africa,Heinrich Klaasen,4,c Karan KC b Bhurtel,Out,3,5,0,0,60
T20I # 2681,Nepal vs South-Africa-31St-Match-Group-D-1415731,South Africa,David Miller,5,c Lamichhane b Airee,Out,7,10,0,0,70
T20I # 2681,Nepal vs South-Africa-31St-Match-Group-D-1415731,South Africa,Tristan Stubbs,6,not out,Not_Out,27,18,2,1,150
T20I # 2681,Nepal vs South-Africa-31St-Match-Group-D-1415731,South Africa,Marco Jansen,7,c Sah b Bhurtel,Out,1,4,0,0,25
T20I # 2681,Nepal vs South-Africa-31St-Match-Group-D-1415731,South Africa,Kagiso Rabada,8,st Aasif Sheikh b Bhurtel,Out,0,1,0,0,0
T20I # 2681,Nepal vs South-Africa-31St-Match-Group-D-1415731,Nepal,Kushal Bhurtel,1,b Shamsi,Out,13,21,1,1,61.9
T20I # 2681,Nepal vs South-Africa-31St-Match-Group-D-1415731,Nepal,Aasif Sheikh ,2,b Shamsi,Out,42,49,4,1,85.71
T20I # 2681,Nepal vs South-Africa-31St-Match-Group-D-1415731,Nepal,Rohit Paudel (c),3,b Shamsi,Out,0,2,0,0,0
T20I # 2681,Nepal vs South-Africa-31St-Match-Group-D-1415731,Nepal,Anil Sah,4,c Jansen b Markram,Out,27,24,3,1,112.5
T20I # 2681,Nepal vs South-Africa-31St-Match-Group-D-1415731,Nepal,Dipendra Singh Airee,5,c de Kock b Shamsi,Out,6,11,0,0,54.54
T20I # 2681,Nepal vs South-Africa-31St-Match-Group-D-1415731,Nepal,Kushal Malla,6,b Nortje,Out,1,3,0,0,33.33
T20I # 2681,Nepal vs South-Africa-31St-Match-Group-D-1415731,Nepal,Gulsan Jha,7,run out (de Kock/Klaasen),Out,6,6,1,0,100
T20I # 2681,Nepal vs South-Africa-31St-Match-Group-D-1415731,Nepal,Sompal Kami,8,not out,Not_Out,8,4,0,1,200
T20I # 2679,Afghanistan vs Papua-New-Guinea-29Th-Match-Group-C-1415729,Papua New Guinea,Tony Ura,1,b Naveen-ul-Haq,Out,11,18,1,0,61.11
T20I # 2679,Afghanistan vs Papua-New-Guinea-29Th-Match-Group-C-1415729,Papua New Guinea,Assad Vala (c),2,run out (Fazalhaq Farooqi/Rahmanullah Gurbaz),Out,3,2,0,0,150
T20I # 2679,Afghanistan vs Papua-New-Guinea-29Th-Match-Group-C-1415729,Papua New Guinea,Lega Siaka,3,c Rahmanullah Gurbaz b Fazalhaq Farooqi,Out,0,1,0,0,0
T20I # 2679,Afghanistan vs Papua-New-Guinea-29Th-Match-Group-C-1415729,Papua New Guinea,Sese Bau,4,c Rahmanullah Gurbaz b Fazalhaq Farooqi,Out,0,1,0,0,0
T20I # 2679,Afghanistan vs Papua-New-Guinea-29Th-Match-Group-C-1415729,Papua New Guinea,Hiri Hiri,5,b Naveen-ul-Haq,Out,1,3,0,0,33.33
T20I # 2679,Afghanistan vs Papua-New-Guinea-29Th-Match-Group-C-1415729,Papua New Guinea,Chad Soper,6,run out (Noor Ahmad/Rashid Khan),Out,9,26,0,0,34.61
T20I # 2679,Afghanistan vs Papua-New-Guinea-29Th-Match-Group-C-1415729,Papua New Guinea,Kiplin Doriga ,7,lbw b Noor Ahmad,Out,27,32,2,0,84.37
T20I # 2679,Afghanistan vs Papua-New-Guinea-29Th-Match-Group-C-1415729,Papua New Guinea,Norman Vanua,8,run out (Rashid Khan),Out,0,7,0,0,0
T20I # 2679,Afghanistan vs Papua-New-Guinea-29Th-Match-Group-C-1415729,Papua New Guinea,Alei Nao,9,c Rashid Khan b Fazalhaq Farooqi,Out,13,19,2,0,68.42
T20I # 2679,Afghanistan vs Papua-New-Guinea-29Th-Match-Group-C-1415729,Papua New Guinea,John Kariko,10,not out,Not_Out,4,7,1,0,57.14
T20I # 2679,Afghanistan vs Papua-New-Guinea-29Th-Match-Group-C-1415729,Papua New Guinea,Semo Kamea,11,run out (Rahmanullah Gurbaz),Out,2,3,0,0,66.66
